"job_title","employment_type","total_positions","average_salary","median_salary","maximum_salary","minimum_salary"
"Analytics Engineer","CT","1","7500.00","7500.00","7500.00","7500.00"
"Analytics Engineer","FT","102","153788.91","146930.00","289800.00","48000.00"
"BI Analyst","FT","8","116500.00","117500.00","200000.00","48000.00"
"BI Analyst","PT","1","12000.00","12000.00","12000.00","12000.00"
"BI Data Analyst","FT","15","60440.13","55000.00","150000.00","6270.00"
"BI Developer","FT","13","129846.15","130000.00","197000.00","100000.00"
"Business Data Analyst","CT","1","100000.00","100000.00","100000.00","100000.00"
"Business Data Analyst","FT","14","63641.50","54551.00","150000.00","9289.00"
"Business Intelligence Engineer","FT","4","174150.00","171150.00","225000.00","129300.00"
"Compliance Data Analyst","FT","1","30000.00","30000.00","30000.00","30000.00"
"Data Analyst","CT","1","90000.00","90000.00","90000.00","90000.00"
"Data Analyst","FT","606","109292.50","106020.00","430967.00","5723.00"
"Data Analyst","PT","5","42614.60","25216.00","125404.00","10354.00"
"Data Analytics Consultant","FL","1","50000.00","50000.00","50000.00","50000.00"
"Data Analytics Consultant","FT","1","113000.00","113000.00","113000.00","113000.00"
"Data Analytics Engineer","FT","6","67866.17","64598.50","135000.00","13000.00"
"Data Analytics Lead","FT","2","211254.50","211254.50","405000.00","17509.00"
"Data Analytics Manager","FT","22","141879.09","140000.00","204500.00","105400.00"
"Data Analytics Specialist","FT","2","95000.00","95000.00","105000.00","85000.00"
"Data Operations Analyst","FT","4","90562.50","86625.00","123000.00","66000.00"
"Data Quality Analyst","FT","7","85311.43","80000.00","100000.00","64980.00"
"Finance Data Analyst","FT","1","61896.00","61896.00","61896.00","61896.00"
"Financial Data Analyst","FT","3","101666.67","100000.00","130000.00","75000.00"
"Insight Analyst","FT","2","46786.00","46786.00","51039.00","42533.00"
"Lead Data Analyst","FT","5","72569.40","68000.00","170000.00","18238.00"
"Marketing Data Analyst","FT","2","144327.00","144327.00","200000.00","88654.00"
"Power BI Developer","FT","1","5409.00","5409.00","5409.00","5409.00"
"Principal Data Analyst","FT","2","122500.00","122500.00","170000.00","75000.00"
"Product Data Analyst","FT","5","56497.20","20000.00","140000.00","6072.00"
"Staff Data Analyst","FT","1","15000.00","15000.00","15000.00","15000.00"
